23657	18,65208986	15,39200028	15,57696028
37205	4,479785863	3,72084333	2,588923098
23381	24,25637101	21,11739183	35,68379201
33229	9,964975436	9,363591479	12,59930041
23838	12,19628851	12,74831737	11,91224991
23839	11,18359181	13,26976472	20,18454476
23538M	2,252913595	1,869457333	2,517591139
23962	5,956353739	4,439453544	3,393135087
28226	4,628774421	3,212130414	3,756019413
25176M	7,045438757	4,889170664	4,010254129
27928M	11,84865741	8,222356365	5,721027849
27929	4,968664437	3,447996532	3,007500541
27669M	9,960729088	11,50300622	10,43735436
21309M	31,36885092	29,41965365	25,33725186
27624	3,057610405	2,121823723	2,388974314
32303	5,455166971	4,703759091	5,40230007
23914M	6,269718457	4,962964117	5,278441495
27931	15,05314864	12,28241764	11,58808185
27889	16,4935527	15,11829352	13,8654647
27472M	5,282537547	5,808169749	4,953894556
33523	28,94163829	23,14451881	19,75423731
37341	5,486390765	5,643581714	3,926743955
28222	5,053882677	3,50713359	3,65706881
29500	12,7487436	9,765124622	7,40289088
27667	4,614055864	4,426123059	3,07964921
26137	5,976217915	5,371393179	3,737358076
29494M	8,755716056	9,44258284	9,003733752
29610M	22,17372032	20,28424309	22,93566931
39634	2,587879178	9,753197173	9,828277226
31220	5,218264673	6,069619335	7,265283059
33203	2,54147436	7,884684781	5,486079563
39671	3,443469324	5,450106296	4,400547158
26104	5,643101521	12,48546699	9,599886746
26105	1,418973462	4,045210715	3,118825132
23160	11,16026364	12,64147289	10,31685533
32295	4,565370269	6,228647616	4,333826569
32247	13,62630068	12,51646541	8,708823115
21360M	4,447867429	7,983416559	7,380040084
27416M	12,41848968	15,96302992	17,19111928
27945M	2,375837926	8,07579329	8,052736163
27406M	1,450839347	1,312859225	1,217684111
32241	1,933012931	4,401927561	6,40913158
32435	0,555263399	5,28215038	6,108949226
32315	1,863896256	8,638687131	7,835970358
27601	2,144622014	2,712463491	6,754673838
26112	3,89132374	2,700377724	5,833632689
23632M	5,701292618	5,792712503	6,159982238
33483	0,31132002	2,664453145	10,06758609
38233	0,647719303	2,897896875	6,275275074
22345M	5,234379967	5,162647593	7,851064465
33340	5,669334885	4,240277281	9,338763712
27610M	7,795838042	11,22489019	12,37331887
23910M	5,754780723	4,605623921	8,071914671
31460	14,82183006	11,50979121	41,47156334
37251	23,9735286	18,16664904	24,8085873
21308M	38,0703465	37,43671356	35,7828073
29992	21,36269352	21,25169058	17,22038494
29990	14,54428002	14,37770223	10,61227317
29991	14,84633966	15,50547094	11,70117328
23385	31,47139734	27,96055736	44,39993226
33525	32,27699191	22,39856557	15,58468299
23444M	38,17270042	40,5682583	41,0038094
23562M	69,20809192	69,14440504	81,26890218
26271M	49,81625324	39,1606818	53,71391271
29112	46,60712646	52,84839887	57,15346689
29114	50,07411644	49,13327806	57,61063214
29115	43,52715691	49,48685249	55,42296012
33223	21,32871594	23,37047337	32,6883021
31370	10,24952722	7,112642596	17,11732753
40030	14,32364632	19,12142008	22,43080014
29994	33,18568767	30,06834124	30,35176177
23561M	93,1446618	90,34592305	110,0143829
33291	27,80263271	29,69934714	31,61607295
29993	23,63665582	23,44180626	22,39477208
33213	101,9896936	119,1317398	137,3443032
39903	3,74818079	2,601043909	3,635042609
33531	4,991289313	3,463697029	4,235267448
39074	3,624379757	2,515132385	1,750002284
39075	2,25656761	1,56594139	1,089565315
23497M	2,6188775	1,817365744	1,568714366
33257	6,391142371	4,435122761	3,085911107
35308	0,929285166	0,644875916	0,448697783
33349	2,081040201	1,444134433	1,613234668
33410	29,38749246	25,90233171	18,32677676
32335	8,853981315	7,062360728	5,522336593
40481	0,886735979	0,615348977	0,428153254
38260	4,916714629	3,411946049	2,373995665
31293	3,688723303	2,559783483	1,781070042
23203M	8,21703971	5,702201223	4,575952119
26147M	2,629635086	1,824830953	1,878119245
29441M	1,147050744	0,795993982	0,858054789
39471	1,112520655	2,608341729	1,814856351
39630	1,372174499	4,930889574	3,430860367
39583	2,532516101	3,287693597	2,287542134
41430	0,137292129	3,767893339	3,230081327
